file_name,cgpa,scgpa
sample\21010305041_1800265903.html,8.48,8.63
sample\21010305043_1800265531.html,7.58,7.38
sample\21010305043_1800265773.html,7.59,7.62
sample\21010305043_1800265903.html,7.61,7.70
sample\21010305044_1800265531.html,7.50,7.19
sample\21010305044_1800265773.html,7.00,5.58
sample\21010305044_1800265902.html,7.18,6.27
